1610371641.629583;Aggregator started
1610371881.453782;m3-98;Sending broadcast
1610371881.467325;m3-99;Data received on port 1234 from port 1234 with length 5
1610371882.336468;m3-99;Sending broadcast
1610371882.355298;m3-98;Data received on port 1234 from port 1234 with length 5
1610371886.196013;m3-99;Sending broadcast
1610371886.227338;m3-98;Data received on port 1234 from port 1234 with length 5
1610371887.973935;m3-98;Sending broadcast
1610371887.985026;m3-99;Data received on port 1234 from port 1234 with length 5
1610371893.147785;m3-99;Sending broadcast
1610371893.158467;m3-98;Data received on port 1234 from port 1234 with length 5
1610371894.963318;m3-98;Sending broadcast
1610371894.974928;m3-99;Data received on port 1234 from port 1234 with length 5
1610371895.503675;m3-98;Sending broadcast
1610371895.514407;m3-99;Data received on port 1234 from port 1234 with length 5
1610371899.256344;m3-99;Sending broadcast
1610371899.300670;m3-98;Data received on port 1234 from port 1234 with length 5
1610371902.425285;m3-98;Sending broadcast
1610371902.433864;m3-99;Data received on port 1234 from port 1234 with length 5
1610371903.345105;m3-99;Sending broadcast
1610371903.381106;m3-98;Data received on port 1234 from port 1234 with length 5
1610371908.093781;m3-98;Sending broadcast
1610371908.107651;m3-99;Data received on port 1234 from port 1234 with length 5
1610371908.395663;m3-99;Sending broadcast
1610371908.406675;m3-98;Data received on port 1234 from port 1234 with length 5
1610371911.893345;m3-98;Sending broadcast
1610371911.903438;m3-99;Data received on port 1234 from port 1234 with length 5
1610371912.826163;m3-99;Sending broadcast
1610371912.836112;m3-98;Data received on port 1234 from port 1234 with length 5
1610371917.635262;m3-99;Sending broadcast
1610371917.675574;m3-98;Data received on port 1234 from port 1234 with length 5
1610371920.103896;m3-98;Sending broadcast
1610371921.873829;m3-98;Sending broadcast
1610371921.886742;m3-99;Data received on port 1234 from port 1234 with length 5
1610371922.287032;m3-99;Sending broadcast
1610371922.297231;m3-98;Data received on port 1234 from port 1234 with length 5
1610371925.773533;m3-98;Sending broadcast
1610371925.786317;m3-99;Data received on port 1234 from port 1234 with length 5
1610371929.465681;m3-99;Sending broadcast
1610371934.467935;m3-99;Sending broadcast
1610371934.785434;m3-98;Sending broadcast
1610371934.805876;m3-99;Data received on port 1234 from port 1234 with length 5
1610371936.244351;m3-98;Sending broadcast
1610371936.275376;m3-99;Data received on port 1234 from port 1234 with length 5
1610371937.105888;m3-99;Sending broadcast
1610371937.145268;m3-98;Data received on port 1234 from port 1234 with length 5
1610371942.437722;m3-99;Sending broadcast
1610371942.455776;m3-98;Data received on port 1234 from port 1234 with length 5
1610371943.683537;m3-98;Sending broadcast
1610371943.697318;m3-99;Data received on port 1234 from port 1234 with length 5
1610371945.522440;m3-98;Connection closed
1610371945.542529;m3-99;Connection closed
1610371945.542876;Loop finished, all connection closed
1610371945.543289;Stopping
