transmitted;node name;timestamp;message id;transmission success
transmitted;m3-48;1610708798217.8198;68582;25
transmitted;m3-48;1610708810896.635;69850;23
transmitted;m3-48;1610708857596.9219;74520;23
transmitted;m3-48;1610708868187.238;75579;26
transmitted;m3-48;1610708896107.301;78371;29
transmitted;m3-48;1610708935027.566;82263;45
transmitted;m3-48;1610708967837.5608;85544;23
transmitted;m3-48;1610708996108.03;88371;25
transmitted;m3-48;1610709015479.188;90308;20
transmitted;m3-48;1610709069389.7852;95699;22
transmitted;m3-48;1610709088168.926;97577;18
transmitted;m3-48;1610709109220.562;99682;26
transmitted;m3-48;1610709158279.614;104588;16
transmitted;m3-48;1610709165790.961;105339;26
transmitted;m3-48;1610709208311.1528;109591;28
transmitted;m3-48;1610709244779.73;113238;21
transmitted;m3-48;1610709257189.548;114479;26
transmitted;m3-48;1610709283470.422;117107;24
transmitted;m3-48;1610709336621.5178;122422;18
transmitted;m3-48;1610709345260.427;123286;18
transmitted;m3-48;1610709379900.681;126750;22
transmitted;m3-48;1610709421110.794;130871;25
transmitted;m3-48;1610709460561.585;134816;22
transmitted;m3-48;1610709475050.988;136265;25
transmitted;m3-48;1610709496142.0132;138374;22
transmitted;m3-48;1610709548353.57;143595;25
transmitted;m3-48;1610709553791.816;144139;27
transmitted;m3-48;1610709596792.262;148439;23
transmitted;m3-48;1610709621873.6501;150947;26
transmitted;m3-48;1610709649132.814;153673;18
transmitted;m3-48;1610709676244.948;156384;26
transmitted;m3-48;1610709731582.856;161918;25
transmitted;m3-48;1610709746375.422;163397;23
transmitted;m3-48;1610709791275.6099;167887;24
transmitted;m3-48;1610709799093.616;168669;26
transmitted;m3-48;1610709832264.3188;171986;25
transmitted;m3-48;1610709853114.3032;174071;27
transmitted;m3-48;1610709902396.341;178999;22
transmitted;m3-49;1610708170781.378;5840;13
transmitted;m3-49;1610708192712.114;8033;18
transmitted;m3-49;1610708214671.499;10229;19
transmitted;m3-49;1610708244431.774;13205;18
transmitted;m3-49;1610708292184.543;17980;21
transmitted;m3-49;1610708306054.099;19367;20
